"Phys. Inventory Doc.","Material","Description","Plant","Storage Location","Book quantity (MB52)","Qty Counted","Difference Quantity","Base Unit of Measure","Net Cost Difference"
"100325409","10088096P27","SM SIDE BARR EUSERC 50D TB35","","FLOR","5","0","0","H87","0"
"100325410","10088096P4","SM SIDE BARR EUSERC 30D TB10","","FLOR","1","0","0","H87","0"
"100325411","10088096P45","SI MAIN BUS BARRIER INSUL 5D","","FLOR","1","0","0","H87","0"
"100325412","10088096P5","SM SIDE BARR EUSERC 30D TB15","","FLOR","17","0","0","H87","0"
"100325413","10088096P53","SI NEUTRAL BARRIER INSUL 5D","","FLOR","1","0","0","H87","0"
"100325414","10088114P28","SI SERV ENTR HOR BARR 30W 40D","","FLOR","2","0","0","H87","0"
"100325415","10088118P10","SI BARRIER CTR 40D CT 04-10A","","FLOR","7","0","0","H87","0"
"100325416","10088118P12","SI BARRIER CTR 50D CT 04-10A","","FLOR","2","0","0","H87","0"
"100325417","10088118P21","SI BARRIER CTR 35D CT 12-20A","","FLOR","1","0","0","H87","0"
"100325418","10088118P22","SI BARRIER CTR 40D CT 12-20A","","FLOR","4","0","0","H87","0"
